,mapper1,mapper2,Unnamed: 0,weight,avgDistance
335,kiggudde,klain890,3830,4,0.00585292898133394
336,kiggudde,markusauers,1921,2,0.0024794800680076
337,kiggudde,mugabi henry,1925,2,0.010477400598856618
338,kiggudde,nababi tracy,3862,4,0.01354110626724236
339,kiggudde,nabulo carol,5823,6,0.011945975480100051
340,kiggudde,nawinecoff,974,1,0.00113022757459559
341,kiggudde,patrick etomet,3906,4,0.00548177801764258
342,kiggudde,prosper1994,979,1,0.0196487491509294
343,kiggudde,reeseray789,980,1,0.00140104512204595
344,kiggudde,seancurran,981,1,0.0017814322244221101
345,kiggudde,sekcore,982,1,0.0013282803001682698
346,kiggudde,shamillah,983,1,0.00195453054761433
347,kiggudde,smart d,1969,2,0.0029171435273745196
348,kiggudde,wisniewskin,986,1,0.0014611068672968801
349,kiggudde,yukiejiang,987,1,0.0034191022748780698
350,kilsedar,naturinda,988,1,0.0138194119882732
351,kilsedar,prosper1994,989,1,0.0010020167135681099
352,kilsedar,siima,990,1,0.00105227947315866
353,kirbyk,patrick etomet,991,1,0.00337717091798529
354,klain890,wava stella,992,1,0.0025184236252416103
355,kombe1207,lani_martin,993,1,0.0012468243754542
356,kombe1207,lowenz,994,1,0.00740306419692088
357,kombe1207,nababi tracy,3986,4,0.03519878817535115
358,kombe1207,nabulo carol,999,1,0.00151911791227023
359,kombe1207,prosper1994,2001,2,0.017780977255211678
360,kombe1207,siima,1002,1,0.00238642098109657
361,kwaku_boateng,prosper1994,2007,2,0.07503651210735278
362,kwaku_boateng,tars4815,1005,1,0.00292985464873053
363,kyasiikane jorun,nabulo carol,1006,1,0.0011324104468629801
364,kyasiikane jorun,prosper1994,1007,1,0.00135535058767901
365,kylerallen,nababi tracy,2017,2,0.00208003323687915
366,kylerallen,nawinecoff,3033,3,0.0056984730534031395
367,kylerallen,osm bert,8132,8,0.013852960010540639
368,kylerallen,patrick etomet,2043,2,0.0023871159448760797
369,kylerallen,pkodame,9243,9,0.027416429961266402
370,lakwera,nababi tracy,1032,1,0.00117334596706289
371,lakwera,prosper1994,1033,1,0.00146592205472755
372,lakwera,siima,1034,1,0.00135768294770849
373,lani_martin,mconant,1035,1,0.00103450259811655
374,lani_martin,nabulo carol,1036,1,0.0117001351255692
375,lani_martin,rahinton,2075,2,0.00231855614907714
376,lawot,mikew1123,2079,2,0.0022096596343479397
377,legendary1,nabulo carol,1041,1,0.00153983587581022
378,lgoff,mad354,1042,1,0.0011633869926264099
379,lowenz,nababi tracy,1043,1,0.007370439645670391
380,lowenz,nabulo carol,1044,1,0.00255056406132695
