,mapper1,mapper2,datemapped,weight,avgDistance
409,danielzyt,kiggudde,2017-09-13,123,0.0022838021579703
410,danielzyt,kiggudde,2017-09-14,1188,0.00148310584527583
411,danielzyt,kiggudde,2017-09-15,12394,0.00178522388192666
412,danielzyt,kiggudde,2017-09-16,4,0.0287623156487565
413,danielzyt,kiggudde,2017-09-18,3198,0.00115017767479668
414,danielzyt,kiggudde,2017-09-19,142,0.00156562679491711
415,danielzyt,kiggudde,2017-09-20,15767,0.00186366175896581
416,danielzyt,kiggudde,2017-09-22,4263,0.00197040650383946
417,danielzyt,kiggudde,2017-10-05,254,0.0017515575365415
418,danielzyt,kiggudde,2017-10-06,4291,0.00195745846265525
419,danielzyt,kiggudde,2017-10-07,1577,0.00138636443688112
420,danielzyt,kiggudde,2017-10-08,71677,0.0018628981116443
421,danielzyt,kiggudde,2017-10-09,18,0.00406989983682882
422,danielzyt,kiggudde,2017-10-10,379,0.00591906080593431
423,danielzyt,kiggudde,2017-10-11,14,0.00115662303435876
424,danielzyt,kombe1207,2016-12-17,65,0.00179786614331357
425,danielzyt,kombe1207,2017-02-09,134,0.00441094182301241
426,danielzyt,kombe1207,2017-02-11,385,0.00707048913343789
427,danielzyt,kombe1207,2017-02-12,267,0.00425086747179328
428,danielzyt,lani_martin,2017-06-26,1480,0.00839777528724982
429,danielzyt,mandyw,2016-10-22,34,0.00102655994457283
430,danielzyt,mconant,2017-07-26,8844,0.00199882707400069
